Code,Year,Pref,Municip,Ku,JCP,LDP,TotVote,VotePop,Turnout,EldPop,Fstrength,JCPPR,LDPPR,LDPDif,JCPDif,Kaso,Kaso2,IncomePerCapita,Fusion,Kaso.fusion,Kaso2.fusion
01204,2017,北海道,旭川市,６区,NA,0.45394970663241446,160379,293572,0.5463020996552804,31.343,0.52,0.08820226461920273,0.27634558709477275,0.1776041195376417,NA,Normal,Normal,2752.2,0,Normal,Normal
01204,2021,北海道,旭川市,６区,NA,0.5647056433316854,147661,281051,0.5253886305332485,34.0850786727848,0.53,0.07725943590814295,0.36198109071890006,0.20272455261278532,NA,Normal,Normal,2789.699459,0,Normal,Normal
01205,2009,北海道,室蘭市,９区,0.05900886557508924,0.2353650974542895,59669,81774,0.7296818059529924,29.3,0.67,0.07238262277388019,0.18249123043712898,0.052873867017160514,-0.013373757198790949,Normal,Normal,2938.7,0,Normal,Normal
01205,2012,北海道,室蘭市,９区,0.12544794304553492,0.5279755363371399,41858,81774,0.5118741898402915,29.3,0.64,0.07685135544626,0.2141908114029976,0.31378472493414233,0.04859658759927492,Normal,Normal,2842.4,0,Normal,Normal
01205,2014,北海道,室蘭市,９区,0.12095191364082433,0.4302993130520118,40760,77214,0.527883544434947,34.007,0.63,0.11686180375251065,0.23536471856170088,0.19493459449031092,0.004090109888313681,Normal,Normal,2861.1,0,Normal,Normal
01205,2017,北海道,室蘭市,９区,0.1463912794033276,0.4455995410212278,43575,77214,0.5643406636102262,34.007,0.61,0.08420184621022975,0.2470623267746295,0.1985372142465983,0.06218943319309786,Normal,Normal,2861.4,0,Normal,Normal
01205,2021,北海道,室蘭市,９区,NA,0.44778332427222856,40466,69879,0.5790867070221383,37.9033649698015,0.62,0.08008506580147776,0.2845884484510495,0.16319487582117903,NA,Normal,Normal,2930.449656,0,Normal,Normal
01206,2009,北海道,釧路市,７区,NA,0.515175544132123,109716,154047,0.712224191318234,25.245,0.48,0.06744266915573126,0.23595783231757536,0.2792177118145476,NA,みなし過疎,Kaso,2745,1,みなし過疎,Kaso-Merged
01206,2012,北海道,釧路市,７区,0.06467655551990523,0.48931312782288916,81034,154047,0.5260342622706057,25.245,0.44,0.06539604391232455,0.24668979150348738,0.24262333631940178,-7.194883924193235e-4,みなし過疎,Kaso,2658.7,1,みなし過疎,Kaso-Merged
01206,2014,北海道,釧路市,７区,0.09762405802894393,0.4652308343424131,85061,150673,0.5645404286103017,30.254,0.43,0.11756411175641117,0.295141129514113,0.1700897048283001,-0.01994005372746724,みなし過疎,Kaso,2661.9,1,みなし過疎,Kaso-Merged
